PR;WKZ;UMC;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Vaartsche Rijn
0,00076091;0,011413636;0,02434909;0,547854546;0,219141818;0,0723168;0,40176;0,7271856
0,0006696;0,010044;0,0214272;0,562464;0;0,073047272;0,456545454;0,730472728
0,000664286;0,009964286;0,021257142;0,564377142;0;0,015942858;0,678026938;0,441936
0,002422894;0,036343422;0,077532632;0,718938948;0;0,211452632;3,455136;0,358714286
0,009608416;0,144126234;0,3074693;1,683771334;0,224502844;0,392879978;1,66900141;0,649876654
0,060413092;0,906196378;1,933218938;2,935162918;0,527502124;0,531304678;0,73497955;0,76170608
0,079627312;1,194409672;2,548073966;4,14994551;0,439874124;0,740954994;4,443285464;2,19046178
0,117670968;1,765064526;3,765470988;3,478903204;0,44098773;0,641436698;4,556873212;3,147526062
0,116928564;1,753928472;3,741714074;4,299953674;0,845266734;0,64589112;5,914358168;5,074699714
0,18611922;2,791788314;5,955815072;4,310386168;0,609562026;0,427871934;4,130416228;3,356981378
0,125419806;1,881297088;4,013433786;4,343060978;1,309599926;0,855248932;4,71146224;3,47705625
0,189067544;2,836013156;6,050161402;3,783808358;0,888657092;0,415746008;3,779116254;3,073550846
0,07952275;1,19284125;2,544728;2,206053;0,510012;0,354888;1,96416;0,885147702
0,05907767;0,886165042;1,890485422;2,272022068;0,44332138;0,318637242;2,465035932;1,753923254
0,07560046;1,134006888;2,419214694;2,612692654;0,626554286;0,346700204;1,38765469;1,08978634
0,080877932;1,213168966;2,588093794;4,66180138;1,443646154;0,288235862;1,798761104;1,153625142
0,035458364;0,531875454;1,134667636;3,910464;2,018539636;0,867738948;2,687518196;1,607431578
0,072082882;1,08124322;2,306652204;4,304355254;4,92969356;0,290551578;2,302864602;1,689015272
0,142973148;2,144597222;4,57514074;8,625192;8,56158;0,770877;3,301128;1,064664
0,107694;1,61541;3,446208;26,6848;7,86024;4,70448;2,976975738;2,362626886
0,07826431;1,173964656;2,504457932;14,49106759;7,280553104;5,406442758;2,90538305;1,969457468
