Tramnummer;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS;Vertrektijd P&R;Vertrektijd CS
18;;06:47:30;07:09:30;07:31:30;07:53:30;08:15:30;08:37:30;08:59:30;09:21:30;09:43:30;10:05:30;10:27:30;10:49:30;11:11:30;11:33:30;11:55:30;12:17:30;12:39:30;13:01:30;13:23:30;13:45:30;14:07:30;14:29:30;14:51:30;15:13:30;15:35:30;15:57:30;16:19:30;16:41:30;17:03:30;17:25:30;17:47:30;18:09:30;;;;;;;;;;
19;;;;07:33:00;07:55:00;08:17:00;08:39:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;06:50:30;07:12:30;07:34:30;07:56:30;08:18:30;08:40:30;09:02:30;09:24:30;09:46:30;10:08:30;10:30:30;10:52:30;11:14:30;11:36:30;11:58:30;12:20:30;12:42:30;13:04:30;13:26:30;13:48:30;14:10:30;14:32:30;14:54:30;15:16:30;15:38:30;16:00:30;16:22:30;16:44:30;17:06:30;17:28:30;17:50:30;18:12:30;18:34:30;18:56:30;19:18:30;19:40:30;20:02:30;20:24:30;20:46:30;21:08:30;;
21;;;;07:36:00;07:58:00;08:20:00;08:42:00;;;;;;;;;;;;;;;;;;;15:40:00;16:02:00;16:24:00;16:46:00;17:08:00;17:30:00;17:52:00;18:14:00;;;;;;;;;;
22;;06:53:30;07:15:30;07:37:30;07:59:30;08:21:30;08:43:30;09:05:30;09:27:30;09:49:30;10:11:30;10:33:30;10:55:30;11:17:30;11:39:30;12:01:30;12:23:30;12:45:30;13:07:30;13:29:30;13:51:30;14:13:30;14:35:30;14:57:30;15:19:30;15:41:30;16:03:30;16:25:30;16:47:30;17:09:30;17:31:30;17:53:30;18:15:30;;;;;;;;;;
23;;;;07:39:00;08:01:00;08:23:00;08:45:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;06:34:30;06:56:30;07:18:30;07:40:30;08:02:30;08:24:30;08:46:30;09:08:30;09:30:30;09:52:30;10:14:30;10:36:30;10:58:30;11:20:30;11:42:30;12:04:30;12:26:30;12:48:30;13:10:30;13:32:30;13:54:30;14:16:30;14:38:30;15:00:30;15:22:30;15:44:30;16:06:30;16:28:30;16:50:30;17:12:30;17:34:30;17:56:30;18:18:30;18:40:30;19:02:30;19:24:30;19:46:30;20:08:30;20:30:30;20:52:30;21:14:30;;
25;;;;07:42:00;08:04:00;08:26:00;08:48:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;06:59:30;07:21:30;07:43:30;08:05:30;08:27:30;08:49:30;09:11:30;09:33:30;09:55:30;10:17:30;10:39:30;11:01:30;11:23:30;11:45:30;12:07:30;12:29:30;12:51:30;13:13:30;13:35:30;13:57:30;14:19:30;14:41:30;15:03:30;15:25:30;15:47:30;16:09:30;16:31:30;16:53:30;17:15:30;17:37:30;17:59:30;18:21:30;;;;;;;;;;
27;;;;07:45:00;08:07:00;08:29:00;08:51:00;;;;;;;;;;;;;;;;;;;15:49:00;16:11:00;16:33:00;16:55:00;17:17:00;17:39:00;18:01:00;18:23:00;18:45:00;19:07:00;19:29:00;19:51:00;20:13:00;20:35:00;20:57:00;21:19:00;;
28;;07:02:30;07:24:30;07:46:30;08:08:30;08:30:30;08:52:30;09:14:30;09:36:30;09:58:30;10:20:30;10:42:30;11:04:30;11:26:30;11:48:30;12:10:30;12:32:30;12:54:30;13:16:30;13:38:30;14:00:30;14:22:30;14:44:30;15:06:30;15:28:30;15:50:30;16:12:30;16:34:30;16:56:30;17:18:30;17:40:30;18:02:30;18:24:30;;;;;;;;;;
29;;;;07:48:00;08:10:00;08:32:00;08:54:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
