CS Centrumzijde;Vaartsche Rijn;Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan(nieuw);UMC;WKZ;P&R
0;0,086763924;0,062557774;0,052848369;0,517963103;0,642401152;0,797902237;0,977346689;1
0;0,036248402;0,034717693;0,026773621;0,538356319;0,648449401;0,800210006;0,974718246;1
0;0,138608172;0,10572386;0,149689112;0,430903442;0,522978061;0,694063584;0,997447291;1
