PR;WKZ;UMC;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Vaartsche Rijn;CS
0;0;0;0;0,018402118;0,001572231;0,013160988;0,026607992;1
0;0;0;0;0,19169781;0,001543533;0,039547378;0,084536474;1
0;0;0;0;0,000681801;0,000750849;0,009020428;0,030002259;1
